 Name ; Code review ; Bug tracking ; Web hosting ; Wiki ; Translation system ; Shell server ; Mailing list ; Forum ; Personal repository ; Private repository ; Announce ; Build system ; Team ; Release binaries ; Self-hosting 
 Assembla ; yes;yes;yes;yes;yes ; no;no;no;yes ; yes ; yes;yes;yes;unk;no 
 Azure DevOps Services ; yes;yes;yes;yes;no;no;yes ; yes;yes;yes;yes;yes;yes;yes ; Commercially (Azure DevOps Server) 
 Bitbucket ; yes— Using Mercurial Queues And Bitbucket.org  ; yesAnyone can submit Bug Reports without logging in. ; yesPublishing a Website on Bitbucket – Bitbucket – Atlassian Documentation . Confluence.atlassian.com. Retrieved on 2013-09-21. ; yes;no;no;no;no;yes ; YesLimited to 5 users on free plan (see Pricing - bitbucket.org) ; no;yesBitbucket Pipelines;yes ; noIssue #11404 – Bitbucket equivalent of GitHub Releases? (BB-13572) ; Commercially (Bitbucket Server formerly Stash)Self hosted version is known as BitBucket Server and only supports Git repositories 
 Buddy ; yes;yes;no;no;no;no;yes;yes ; yes;yes;yes;yesBuilds are run in Docker containers;yes;yes;yes 
 CloudForge ; unk ; yes ; yes ; yes;no;no;no;no;unk ; unk ; unk;unk;unk;unk;no 
 GForge ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes 
 Gitea ; yes;yes;no;yes;unk;unk;unk ; unk;yes;yes;unk;3rd-party (e.g. Travis CI, Appveyor and others);yes;unk;yes 
 GitHub ; yes ; Yesno file attachments, but images can be embedded GitHub Issue Tracker — GitHubRequires one to log in to report a Bug. ; yes;yes;no;no;no;no;yes;YesLimited to 3 users on free plan (see Pricing - github.com);Yes ; 3rd-party (e.g. Travis CI, Appveyor and others);yes;yes;Commercially (GitHub Enterprise) 
 GitLab ; yes;yes;yes;yes;no;no;no ; no;yes;yes;yes;yes;yes ;yes ;YesHas an open source Community Edition and commercial Enterprise Edition 
 GNU Savannah ; yes;yes;yes;no;no;yes;yes ; no;no;no;yes;no;yes;unk;yes 
 Helix TeamHub ; yes;yes;no;yes;no;no;yes ; yes;yes;yes;no;Yes, with hooks. Jenkins, TeamCity, etc.;no;yes;yes 
java.net/Project Kenai ; unk;yes;yes;yes;no;no;yes ; yes;yes;yes;yes;yes;yes;unk;no 
 Kallithea ; yes;no;yes;no;no;unk;no ; no;yes;yes;no;no;yes;yes;yes 
 Launchpad ; yes;yes;no;no;yes ; no;yes;no;yes ; YesCurrently only available for security vulnerability updates ; yes ; yesUbuntu ; yes;unk;yes 
 OSDN ; yes;yes;yes;yes;no;yes;yes ; yes;yes;no;yes;no;yes;yes;no 
 Ourproject.org ; unk;yes;yes;yes;no;unk;yes;yes;unk;unk;unk;unk;unk;unk;yes 
 Phabricator ; yes;yes;yes;yes;unk;yes;unk;yes;unk;unk;unk;unk;unk;unk;yes 
 RhodeCode ; yes;no;yes;no;no;unk;no ; no;yes;yes;yes;no;yes;yes;yes 
 SourceForge ; yes;yes;yes;yes;no;yes;yes;yes;yes ; YesPrivate repositories can be used to set up a project before going live. However, SourceForge requires that the project remains open source. See SourceForge Support. ; yes;no;yes;yes;yes 
 Name ; Code review ; Bug tracking ; Web hosting ; Wiki ; Translation system ; Shell server ; Mailing list ; Forum ; Personal repository ; Private repository ; Announce ; Build system ; Team ; Release binaries ; Self-hosting 
