 Driver ; Chipset ; Integration ; Free firmware ; License ; Original/Primary developer ; Development ; Free software 
 acx ; Texas Instruments ACX100/ACX111 ; Integrated ; No ; BSD ; Ported from DragonFlyBSD ; Reverse engineering ; yes 
 an ; Aironet 4500/4800, Cisco Aironet 340/350 ; Integrated ; n/a ; BSD ; ; ; yes 
 ath ; Atheros AR5210/ AR5211/ AR5212 ; Integrated ; n/a ; BSD ; ; Reverse engineering ; yes 
 athn ; Atheros AR5416/AR9160/AR928X ; Integrated (since 4.7) ; yes ; BSD ; Damien Bergamini ; Partly based on the ath9k driver for Linux ; yes 
 atu ; Atmel AT76C503/ AT76C503A/ AT76C505/ AT76C505A ; Integrated ; Yes ; BSD ; ; Reverse engineering ; yes 
 atw ; ADMtek ADM8211 ; Integrated ; n/a ; BSD ; ; Documentation based ; yes 
 awi ; BayStack 650 ; 2.7 to 4.3 ; n/a ; BSD ; ; ; yes 
 bwi ; Broadcom BCM430x/4318 ; Integrated ; No ; BSD ; Sepherosa Ziehau ; Ported from DragonFly BSD ; yes 
 cnw ; NetWave AirSurfer ; 2.6 to 6.0 ; n/a ; BSD ; ; ; yes 
 ipw ; Intel PRO/Wireless 2100 ; Integrated ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 iwi ; Intel PRO/Wireless 2200BG/ 2225BG/ 2915ABG ; Integrated ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 iwn ; Intel Wireless WiFi Link 4965/ 5000/ 1000/ 6000 ; Integrated ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 iwm ; Intel Wireless WiFi Link 3160ac/ 7260ac/ 7265ac ; Integrated (since 5.8) ; No ; BSD ; Antti Kantee,{{cite web|url= was contracted to write a driver for the Intel 3160/726x wireless chips, a driver which became iwm(4)|publisher=beastie.pl|date=2015-10-14|accessdate=2016-02-21|archive-url= Stefan Sperling ;  Based on iwn, and iwlwifi driver released by Intel for Linux under dual GPLv2/BSD license  ; yes 
 malo ; Marvell 88W8335/ 88W8310 ; Integrated ; No ; BSD ; Marcus Glocker and Claudio Jeker ; Reverse engineering ; yes 
 otus ; Atheros AR9170 ; Integrated (since 4.6) ; No ; BSD ; Damien Bergamini ; Based on source code released by Atheros for Linux under the ISC ; yes 
 pgt ; Conexant/Intersil Prism GT Full-MAC ISL3877, ISL3880, and ISL3890 chips ; Integrated ; No ; BSD ; Ported from FreeBSD ; Reverse engineering ; yes 
 ral/ural ; Ralink RT2500, RT2501, RT2600, RT2700, RT2800, RT3090, RT3292, RT3592 and RT5390 (ral), RT2500USB (ural) ; Integrated ; Yes ; BSD ; Damien Bergamini ; Documentation based ; yes 
 ray ; Raytheon Raylink/WebGear Aviator IEEE 802.11FH ; 2.7 to 5.4 ; n/a ; BSD ; ; ; yes 
 rsu ; Realtek RTL8188SU/RTL8191SU/RTL8192SU ; Integrated (since 4.9) ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 rtw ; Realtek RTL8180L ; Integrated ; n/a ; BSD ; Ported from NetBSD ; Documentation based ; yes 
 rtwn ; Realtek RTL8188CE/RTL8192CE ; Integrated ; No ; BSD ; Stefan Sperling ; Based on urtwn driver. ; yes 
 rum ; Ralink RT2501USB/ RT2601USB ; Integrated ; Yes ; BSD ; NiallO'Higgins and DamienBergamini ; Documentation based ; yes 
 run ; Ralink RT2700U/ RT2800U/ RT3000U ; Integrated ; Yes ; BSD ; DamienBergamini ; Documentation based ; yes 
 uath ; Atheros AR5005UG/ AR5005UX ; Integrated ; No ; BSD ; Damien Bergamini ; Reverse Engineering ; yes 
 upgt ; GW3887 (Conexant/Intersil PrismGT series) ; Integrated ; No ; BSD ; Marcus Glocker ; Reverse engineering ; yes 
 urtw ; Realtek RTL8187L ; Integrated ; n/a ; BSD ; Weongyo Jeong (FreeBSD) ; ? ; yes 
 urtwn ; Realtek RTL8188CU/RTL8192CU ; Integrated (since 4.9) ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 wi ; Lucent Hermes (WaveLAN/ ORiNOCO), Intersil PRISM-2, PRISM-2.5, PRISM-3, Symbol Spectrum24 ; Integrated ; Yes for Spectrum24 and N/A for others ; BSD ; Bill Paul ; Documentation based ; yes 
 wpiThere is more details about the port at kerneltrap  ; Intel PRO/Wireless 3945ABG ; Integrated ; No ; BSD ; Damien Bergamini ; Reverse engineering ; yes 
 zyd ; ZyDAS ZD1211/ZD1211B ; Integrated ; Yes ; BSD ; FlorianStoehr, DamienBergamini, and JonathanGray ; Documentation based ; yes 
