 Kernel Name ; a.out ; ECOFF ; ELF ; FDPICELFbinaries(mmu less) ; flatbinaries(superH) ; HUNK ; Mach-O ; Misc(wrapperbased,likeinterpreters) ; PE ; SOM(PA-RISC,HP-UX) ; NLM ; PEF ; DOS COM ; MZ ; LE ; LX ; NE 
 Amiga Exec ; No ; No ; YesAmigaOS up to version 3.9 could use the ELF format for PowerPC executables and libraries through ppc.library, also known as PowerUP. AmigaOS 4, uses ELF as its native executable format. ; No ; No ; Yes ; No ; No ; No ; No ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 DragonFly BSD kernel ; No ; No ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No 
 HP-UX kernel ; No ; No ; Yes ; No ; No ; No ; No ; No ; No ; Yes ; No ; No ; dunno ; dunno ; dunno ; dunno ; dunno 
 Linux kernel ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; No ; Yes ; someThe Linux kernel can recognize PE binaries through  and run them using Wine ; Yes ; dunno ; No ; dunno ; dunno ; dunno ; dunno ; dunno 
 MINIX 3 kernel ; Some ; No ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; No ; dunno ; dunno ; dunno ; dunno ; dunno 
NetBSD kernel ; Yes ; Yes ; Yes ; dunno ; dunno ; dunno ; Yes ; dunno ; Yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 ReactOS kernel ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; Yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Solaris kernel ; Yesto support SunOS 4.x binaries ; No ; Yesincluding a Linux compatibility option ; No ; No ; No ; No ; No ; someThe Solaris kernel can PE using Wine ; No ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno 
 Windows NT kernel ; No ; No ; Yes with WSL ; No ; No ; No ; No ; No ; Yes ; No ; No ; No ; Yes on x86 ; Yes on x86 ; dunno ; dunno ; Yes on x86 
 XNU ; No ; No ; No ; No ; No ; No ; Yes ; No ; No ; No ; No ; No ; No ; No ; No ; No ; No 
