 kernel  ; HP   ; HP   ; HP   ; Softbank/ARM Holdings   ; Softbank/ARM Holdings   ; Intel  ; Intel  ; Intel  ; Intel  ; Tallwood MIPS   ; Tallwood MIPS   ; IBM    ; IBM    ; IBM    ; IBM    ; Renesas Electronics   ; Renesas Electronics   ; Renesas Electronics   ; Renesas Electronics   ; Renesas Electronics   ; Renesas Electronics   ; Renesas Electronics   ; Oracle  ; Oracle  ; Oracle  ; NXP  ; NXP  ; Analog Devices   ; Xilinx  ; Cadence   ; Cadence   ; Canon/Axis Comm.  ; Socionext   ; Socionext   ; Microchip/Atmel  ; CML/ Hyperstone  ; Intel/Altera  ; Intel/Altera  ; Intel/Altera  ; WDC  ; Sunplus Technology  ; Mellanox   ; TI  
 kernel  ; VAX  ; Alpha  ; PA-RISC  ; ARM  ; ARM  ; x86 ; x86 ; i960 ; IA-64  ; MIPS    ; MIPS    ; PowerPC  ; PowerPC  ; S/390  ; z/Arch  ; H8300  ; M16C  ; M32R  ; 78K  ; V850  ; SuperH    ; SuperH    ; SPARC  ; SPARC  ; SPARC  ; m68k  ; m68k  ; Blackfin (no-mmu)  ; MicroBlaze  ; Xtensa  ; Xtensa  ; ETRAX CRIS  ; FR-V  ; MN10300  ; AVR32  ; E1 (no-mmu)  ; Nios (no-mmu)  ; Nios II  ; Nios II  ; WDC 65C816  ; S+core  ; Tilera  ; C6X  
 kernel  ; VAX  ; Alpha  ; PA-RISC  ; mmu  ; no-mmu  ; x86 ; x86-64  ; i960 ; IA-64  ; mmu  ; no-mmu  ; 32-bit  ; 64-bit  ; S/390  ; z/Arch  ; H8300  ; M16C  ; M32R  ; 78K  ; V850  ; mmu  ; no-mmu  ; 32-bit  ; 64-bit  ; no-mmu  ; mmu  ; no-mmu  ; Blackfin (no-mmu)  ; MicroBlaze  ; mmu  ; no-mmu  ; ETRAX CRIS  ; FR-V  ; MN10300  ; AVR32  ; E1 (no-mmu)  ; Nios (no-mmu)  ; mmu  ; no-mmu  ; WDC 65C816  ; S+core  ; Tilera  ; C6X  
 DragonFly BSD kernel  ;No  ;No  ;No  ;No  ;No  ;No ;Yes ;No  ;No  ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  ;No  
 FreeBSD kernel  ;No  ;No  ;No  ;Yes  ;dunno  ;Yes ;Yes ;dunno  ;Yes  ;Yes  ;No  ;Yes  ;Yes  ;No ;No  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;No  ;No  ;No  ;Yes  ;dunno  ;No  ;No  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  ;dunno  
 Linux kernel  ;No  ;Yes  ;Yes  ;Yes  ;Yes  ;Yes ;Yes ;No  ;Yes  ;Yes ;dunno ;Yes ;Yes ;Yes ;Yes ;Yes ;No ;Yes24.16 and below only ;No ;Yes22.6 and below only ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes ;Yes24.16 and below only ;Yes ;Yes ;Yes ;Yes24.16 and below only ;Yes24.16 and below only ;Yes24.16 and below only ;Yes24.12 and below only ;No ;No ;yes ;yes ; ;Yes24.16 and below only ;Yes24.16 and below only ;Yes 
 MINIX 3 kernel ;dunno ;No ;No ;Yes ;dunno ;Yes ;In progress ;No ;No ;In progress ;dunno ;No ;No ;No ;No ;No ;dunno ;No ;dunno ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No ;No 
 NetBSD kernel ;Yes ;Yes ;Yes ;Yes ;noNetBSD Projects - Support for MMU-less systems ;Yes ;Yes ;dunno ;Yes ;Yes ;no ;Yes ;No ;No ;No ;dunno ;dunno ;dunno ;dunno ;dunno ;Yes ;no ;Yes ;Yes ;no ;Yes ;no ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno 
 NetWare kernel ;No ;No ;No ;No ;No ;Yes ;No ;dunno ;No ;No ;No ;No ;No ;No ;No ;dunno ;dunno ;dunno ;dunno ;dunno ;No ;No ;No ;No ;No ;No ;No ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno 
 OpenBSD kernel ;No ;Yes ;Yes ;Yes ;dunno ;Yes ;Yes ;dunno ;No ;Yes ;dunno ;Yes ;No ;No ;No ;dunno ;dunno ;dunno ;dunno ;dunno ;yes ;dunno ;Yes ;Yes ;dunno ;Yes ;Yes ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno 
 Rockbox kernel ;dunno ;dunno ;dunno ;Yes ;dunno ;dunno ;dunno ;dunno ;dunno ;Yes ;dunno ;dunno ;dunno ;dunno ;No ;dunno ;dunno ;dunno ;dunno ;dunno ;Yes ;dunno ;dunno ;dunno ;dunno ;Yes ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno ;dunno 
