 Vehicle ; Origin ; Manufacturer ; Mass to ... (kg) ; Mass to ... (kg) ; Mass to ... (kg) ; Launches(+suborbital) ; Date of flight ; Date of flight 
 Vehicle ; Origin ; Manufacturer ; LEO ; GTO ; Other ; Launches(+suborbital) ; First ; Last  
 Antares 110–130 ; USA ; Orbital ; 5100 ;  ; 1500 to SSO ; 5 ; 2013 ; 2014  
 Ariane 1 ; Europe ; Aérospatiale ; 1400 ; 1830 ;  ; 11 ; 1979 ; 1986  
 Ariane 2 ; Europe ; Aérospatiale ;  ; 2270 ;  ; 6 ; 1986 ; 1989  
 Ariane 3 ; Europe ; Aérospatiale ;  ; 2650 ;  ; 11 ; 1984 ; 1989  
 Ariane 4 40 ; Europe ; Aérospatiale ; 4600 ; 2105 ; 2740 to SSO ; 7 ; 1990 ; 1999 
 Ariane 4 42L ; Europe ; Aérospatiale ; 7000 ; 3480 ; 4500 to SSO ; 13 ; 1993 ; 2002 
 Ariane 4 42P ; Europe ; Aérospatiale ; 6000 ; 2930 ; 3400 to SSO ; 15 ; 1990 ; 2002 
 Ariane 4 44L ; Europe ; Aérospatiale ; 7000 ; 4720 ; 6000 to SSO ; 40 ; 1989 ; 2003 
 Ariane 4 44LP ; Europe ; Aérospatiale ; 7000 ; 4220 ; 5000 to SSO ; 26 ; 1988 ; 2001 
 Ariane 4 44P ; Europe ; Aérospatiale ; 6500 ; 3465 ; 4100 to SSO ; 15 ; 1991 ; 2001  
 Ariane 5 G ; Europe ; EADS Astrium ; 18000 ; 6900 ;  ; 16 ; 1996 ; 2003 
 Ariane 5 G+ ; Europe ; EADS Astrium ;  ; 7100 ;  ; 3 ; 2004 ; 2004 
 Ariane 5 GS ; Europe ; EADS Astrium ; 16000 ; 6600 ;  ; 6 ; 2005 ; 2009 
 Ariane 5 ES ; Europe ; EADS Astrium ; 21000 ; 8000 ;  ; 8 ; 2008 ; 2018  
 ASLV ; IND ; ISRO ; 150 ;  ;  ; 4 ; 1987 ; 1994  
 Athena I ; USA ; Lockheed Martin ; 795 ; 515 ;  ; 4 ; 1995 ; 2001 
 Athena II ; USA ; Lockheed Martin ; 1800NASA, Athena Mission Planner’s Guide  26 August  2012 ;  ;  ; 3 ; 1998 ; 1999  
 Atlas-Centaur ; USA ; Lockheed ; 1134 ; 2222 ;  ; 148 ; 1962 ; 1983  
 Atlas G ; USA ; Lockheed ; 5900 ; 2222 ; 1,179 to HCO ; 7 ; 1984 ; 1989 
 Atlas H/MSD ; USA ; Lockheed ; 3630astronautix.com, Atlas H  ;  ;  ; 5 ; 1983 ; 1987  
 Atlas I ; USA ; Lockheed Martin ; 5900 ; 2340 ;  ; 11 ; 1990 ; 1997  
 Atlas II ; USA ; Lockheed Martin ; 6780 ; 2810 ; 2,000 to HCO ; 10 ; 1991 ; 1998 
 Atlas IIA ; USA ; Lockheed Martin ; 7316 ; 3180 ; 2,160 to HCO ; 23 ; 1992 ; 2002 
 Atlas IIAS ; USA ; Lockheed Martin ; 8618 ; 3833 ; 2,680 to HCO ; 30 ; 1993 ; 2004  
 Atlas IIIA ; USA ; Lockheed Martin ; 8686 ; 4060 ; 2,970 to HCO ; 2 ; 2000 ; 2004 
 Atlas IIIB/DEC ; USA ; Lockheed Martin ; 10759 ; 4609 ;  ; 1 ; 2002 ; 2002 
 Atlas IIIB/SEC ; USA ; Lockheed Martin ; 10218astronautix.com, Atlas IIIB  ; 4193 ;  ; 3 ; 2003 ; 2005  
 Black Arrow ; UK ; RAE ; 73Encyclopedia Astronautica, Black Arrow  ;  ;  ; 2 (+2) ; 1969First suborbital test in 1969, first orbital launch attempt in 1970 ; 1971  
 Titan IIICommercial Titan III ; USA ; Martin Marietta ; 13100astronautix.com, Titan III  ;  ;  ; 4 ; 1990 ; 1992  
 Delta 0300 ; USA ; McDonnell Douglas ;  ; 340 ; 747 to SSO ; 3 ; 1972 ; 1973 
 Delta 0900 ; USA ; McDonnell Douglas ; 1300 ;  ; 818 to SSO  ; 2 ; 1972 ; 1972  
 Delta 1410 ; USA ; McDonnell Douglas ; 340 ;  ;  ; 1 ; 1975 ; 1975 
 Delta 1604 ; USA ; McDonnell Douglas ; 390 ;  ;  ; 2 ; 1972 ; 1973 
 Delta 1900 ; USA ; McDonnell Douglas ; 1800 ;  ;  ; 1 ; 1973 ; 1973 
 Delta 1910 ; USA ; McDonnell Douglas ; 1066 ;  ;  ; 1 ; 1975 ; 1975 
 Delta 1913 ; USA ; McDonnell Douglas ; 328 ;  ;  ; 1 ; 1973 ; 1973 
 Delta 1914 ; USA ; McDonnell Douglas ;  ; 680{{cite web|url= ;  ; 2 ; 1972 ; 1973  
 Delta 2310 ; USA ; McDonnell Douglas ; 336 ;  ;  ; 3 ; 1974 ; 1981 
 Delta 2313 ; USA ; McDonnell Douglas ;  ;  ; 243 to GEO ; 3 ; 1974 ; 1977 
 Delta 2910 ; USA ; McDonnell Douglas ; 1887 ;  ;  ; 6 ; 1975 ; 1978 
 Delta 2913 ; USA ; McDonnell Douglas ; 2000 ; 700 ;  ; 6 ; 1975 ; 1976 
 Delta 2914 ; USA ; McDonnell Douglas ;  ; 724 ;  ; 30 ; 1974 ; 1979  
 Delta 3910 ; USA ; McDonnell Douglas ; 2494 ; 1154 with PAM-D ;  ; 10 ; 1980 ; 1988 
 Delta 3913 ; USA ; McDonnell Douglas ; 816 ;  ;  ; 1 ; 1981 ; 1981 
 Delta 3914 ; USA ; McDonnell Douglas ;  ; 954 ;  ; 13 ; 1975 ; 1987 
 Delta 3920 ; USA ; McDonnell Douglas ; 3452 ; 1284 with PAM-D ;  ; 10 ; 1982 ; 1989 
 Delta 3924 ; USA ; McDonnell Douglas ;  ; 1104 ;  ; 4 ; 1982 ; 1984  
 Delta 4925 ; USA ; McDonnell Douglas ; 3400 ; 1312 ;  ; 2 ; 1989 ; 1990  
 Delta 5920 ; USA ; McDonnell Douglas ; 3848 ;  ;  ; 1 ; 1989 ; 1989  
 Delta II 6920 ; USA ; McDonnell Douglas ; 3983 ;  ;  ; 3 ; 1990 ; 1992 
 Delta II 6925 ; USA ; McDonnell Douglas ;  ; 1447 ;  ; 14 ; 1989 ; 1992 
 Delta II 7320 ; USA ; Boeing IDS / ULA ; 2865 ;  ; 1651 to SSO ; 12 ; 1999 ; 2015 
 Delta II 7326 ; USA ; Boeing IDS ;  ; 934 ; 636 to TLI629 to HCO ; 3 ; 1998 ; 2001 
 Delta II 7420 ; USA ; ULA ; 3185 ;  ; 1966 to SSO ; 14 ; 1998 ; 2018 
 Delta II 7425 ; USA ; Boeing IDS ;  ; 1100 ; 804 to HCO ; 4 ; 1998 ; 2002 
 Delta II 7426 ; USA ; Boeing IDS ;  ; 1058 ; 734 to TLI711 to HCO ; 1 ; 1999 ; 1999 
 Delta II 7920 ; USA ; Boeing IDS / ULA ; 5030 ;  ; 3123 to SSO ; 29 ; 1998 ; 2017 
