 Engine ; Origin ; Designer ; Vehicle ; Use ; Propellant ; Specific impulse (s)At sea level if denoted SL, in vacuum otherwise ; Thrust (N)name=VSL ; Mass (kg) ; Thrust:zwspweight ratioWeight is calculated at standard gravity. ; Chamber pressure (bar) ; Oxidiser:zwspfuel ratio  
 Aestus ; EUR ; Airbus Defence and Space ; Ariane 5 G, G+, ES ; Upper ; N2O4/MMH ; 324 ; 30,000 ; 111 ; 27.6 ; 11 ; 1.9 
 Aestus II ; EUR ; Airbus Defence and Space ; Ariane 5 ; Upper ; N2O4/MMH ; 340 ; 55,400 ; 138 ; 41.0 ; 60 ; 1.9 
 F-1Most powerful single-chamber liquid-fueled rocket engine ever developed ; USA ; Rocketdyne ; Saturn V ; 1st ; RP-1/LOX ; 304  263 (SL) ; 7,770,000  6,770,000 (SL) ; 8,391 ; 82.27 ; 70 ; 2.27 
 F-1ATested but never flownAlternate Propulsion Subsystem Concepts NAS8-39210 DCN 1-1-PP-02147 ; USA ; Rocketdyne ; ; 1st ; RP-1/LOX ; 303  270 (SL) ; 8,989,000  8,007,000 (SL) ; 9,015 ; 90.6 ; 80 ; 2.27 
AJ-260-2 ;USA USA ;Aerojet ;S-I stage replacement (proposed) ;1st ;PBAN ;263s ;26,183,755 ;831,345 with fuel ; ; ; 
 Gamma 2 ; UK ; Bristol Siddeley ; Black Arrow ; 2nd ; RP-1/H2O2 ; 265 ; 68,200 ; 173 ; 40.22 ; ; 8 
 Gamma 8 ; UK ; Bristol Siddeley ; Black Arrow ; 1st ; RP-1/H2O2 ; 265 ; 234,800 ; 342 ; 70.01 ; 47.40 ; 8 
 HM-7A ; EUR ; Snecma ; Ariane 1 ; 3rd ; LH2/LOX ; 443308   (SL) ; 61,700 ; 149 ; 42.2 ; 30 ; 5 
 J-2 ; USA ; Rocketdyne ; Saturn VSaturn IB ; 2nd, 3rd ; LH2/LOX ; 421200   (SL) ; 1,033,100  486,200 (SL) ; 1,438 ; 73.18 ; 30 ; 5.5 
 J-2X ; USA ; Pratt & Whitney Rocketdyne ; SLS(proposed) ; Upper ; LH2/LOX ; 448 ; disp=number ; disp=number ; 58.41 ; disp=number ; 5.5–4.5 
 Kestrel ; USA ; SpaceX ; Falcon 1 ; Upper ; RP-1/LOX ; 317 ; 31,000 ; 52 ; 65 ; 9.3 ;  
 LE-5 ; JPN ; MitsubishiNASDA ; H-I ; Upper ; LH2/LOX ; 450 ; 103,000 ; 245 ; 42.87 ; 36.0 ; 5.5 
 LE-5A ; JPN ; MitsubishiNASDA ; H-II ; Upper ; LH2/LOX ; 452 ; 121,500 ; 242 ; 51.19 ; 40.0 ; 5 
 LE-7 ; JPN ; MitsubishiNASDA ; H-II ; 1st ; LH2/LOX ; 446 ; 1,078,000  843,500 (SL) ; 1,714 ; 64.13 ; 127 ; 5.9 
 Merlin 1C ; USA ; SpaceX ;   Falcon 1 Falcon 9  ; 1st, 2nd ; RP-1/LOX ; 304266   (SL) ; 480,408  422,581 (SL) ; 630 ; 92 ; 67.7 ; 
 Merlin 1D ; USA ; SpaceX ; Falcon 9 v1.1 ; 1st ; RP-1/LOX ; 311282   (SL) ; 723,000 ; 470 ; 158 ; 97 ; 2.34 
 Merlin Vacuum 1C ; USA ; SpaceX ;   Falcon 1 Falcon 9  ; 2nd ; RP-1/LOX ; 336 ; 413,644 ; ; 92 ; ; 
 RD-0120  11Д122 ; USSR ; KBKhA ; Energia ; 1st ; LH2/LOX ; 455 ; 1,962,0001,526,000 (SL) ; 3,450 ; 57.80 ; 219 ; 
 RD-56 (KVD-1)  11Д56У ; RUS ; KBKhM ; GSLV Mk I ; Upper ; LH2/LOX ; 462 ; 69,626 ; 282 ; 25.17 ; 55.9 ; 
 RD-117  11Д511 ; USSR ; NPO Energomash ; Soyuz-U ; 1st ; RP-1/LOX ; 316253   (SL) ; 978,000  778,648 (SL) ; 1,100 ; 72.18 ; 54.2 ; 
 RD-118  11Д512 ; USSR ; NPO Energomash ; Soyuz-U ; 2nd ; RP-1/LOX ; 314  257 (SL) ; 1,000,278  818,855 (SL) ; 1,100 ; 75.91 ; 59.7 ; 
