 ; Creator ;Latest release ; User interface ; Software license ;Cost 
 Analyze This ; Comoe Networks ; ; Web GUI ; N/A ; dunno 
 Cain and Abel ; Massimiliano Montoro ; 07 / 4.9.56 ; GUI ; Freeware ; free 
 Capsa ; Colasoft ; 24 / 11.1date=April 25, 2018 ; GUI ; Proprietary ; $0–$995, depending on version 
 Carnivore ; Federal Bureau of Investigation ; dunno ; dunno ; N/A ; dunno 
 Charles Web Debugging Proxy ; Karl van Randow ; 10 / 4.1.4 ; GUI ; dunno ; $30–$50 (Free Trial) 
 Clarified Analyzer ; Clarified Networks ; ; GUI ; Proprietary ; Nonfree 
 Clusterpoint Network Traffic Surveillance System ; Clusterpoint ; ; web GUI ; Proprietary ; dunno 
 CommView ; TamoSoft ; 30 / 6.5 Build 770 ; GUI ; Proprietary ; $299–$599, $149 1 year subscription 
 dSniff ; Dug Song ; 17 / 2.3 ; CLI ; BSD License ; free 
 EtherApe ; Juan Toledo ; 03 / 0.9.18 ; GUI ; GNU General Public License ; free 
 Ettercap ; ALoR and NaGA ; 01 / 0.8.3-Bertillon ; Both ; GNU General Public License ; free 
 Fiddler ; Eric Lawrence /  Telerik ; 03 / 5.0.20194{{cite web ;title=Fiddler Release History ;url= ;publisher=Telerik ;date=October 3, 2019 }} ; GUI ; Freeware ; free 
 HTTP Toolkit ; Tim Perry ; 08 / v0.1.22{{cite web ;title=HTTP Toolkit Releases ;url= ;publisher=HTTP Toolkit ;date=May 8, 2020 }} ; GUI ; GNU Affero General Public License ; free 
 justniffer ; The Justniffer team ; 21 / 0.5.15 ; CLI ; GNU General Public License ; free 
 Kismet ; Mike Kershaw (dragorn) ; 02 / 2020-04-R3 ; CLI ; GNU General Public License ; free 
 Microsoft Message Analyzer ; Microsoft ; 28 / 1.4 ; GUI ; Proprietary ; free 
 Microsoft Network Monitor ; Microsoft ; 24 / 3.4 ; GUI ; Proprietary ; free 
 netsniff-ng ; Daniel Borkmann ; 07 / 0.6.2 ; CLI ; GNU General Public License ; free 
 ngrep ; Jordan Ritter ; 07 / 1.47 ; CLI ; BSD-style ; free 
 Observer ; Viavi Solutions (formerly Network Instruments) ; ; GUI ; Proprietary ; Price on request 
 OmniPeek (formerly AiroPeek, EtherPeek) ; Savvius (formerly WildPackets) ; 11 / 11.1 ; GUI ; Proprietary ; $1194–$5994, depending on version 
 SteelCentral Transaction Analyzer ; OPNET Technologies/Riverbed Technology ; 09 / 17.0.T-PL1 ; GUI ; Proprietary ; Nonfree 
 snoop ; Sun Microsystems ; 11 / Solaris 10 ; CLI ; CDDL ; free 
 tcpdump ; The Tcpdump team ; 04 / 4.9.2 ; CLI ; BSD License ; free 
 Tranalyzer ; The Tranalyzer team ; 29 / 0.8.7lmw1 ; CLI ; GNU General Public License ; free 
 Wireshark (formerly Ethereal) ; The Wireshark team ; 19 / 3.2.4 ; Both ; GNU General Public License ; free 
 Xplico ; The Xplico team ; 02 / 1.2.2 ; Both ; GNU General Public License ; free 
