  ; object member ; object member ; object member ; class member ; namespace member 
  ; method ; field ; property ; class member ; namespace member 
 ABAP Objects ; x->method(«parameters»).In ABAP, arguments must be passed using this syntax:  ; x->field ; n/a ; x=>field or x=>method(«parameters»). ; n/a 
 C++ (STL) ; x.method(parameters) orptr->method(parameters) ; x.field orptr->field ;  ; cls::member ; ns::member 
 Objective-C ; [x method«:parameter «bar:parameter ...»»] ; x->field ; x.property (2.0 only) or[x property] ; [cls method«:parameter «bar:parameter ...»»] ;  
 Smalltalk ; x method«:parameter «bar:parameter ...»» ; n/a ;  ; cls method«:parameter «bar:parameter ...»» ;  
 Swift ; x.method(parameters) ;  ; x.property ; cls.member ;  
 APL (Dyalog) ; left argument» x.method «right argument(s)» ; x.field ; x.property ; cls.member ; ns.member 
 C# ; x.method(parameters) ; x.field ; cls.member ; ns.member 
 Java ; x.method(parameters) ; x.field ; n/a ; cls.member ; ns.member 
 D ; x.method(parameters) ; x.field ; x.property ; cls.member ; ns.member 
 Python  ; x.method(parameters) ; x.field ; x.property ; cls.member ; ns.member 
 Visual Basic .NET ; x.method(parameters) ; x.field ; x.property ; cls.member ; ns.member 
 Xojo ; x.method(parameters) ; x.field ; x.property ; cls.member ; ns.member 
 Windows PowerShell ; x.method(parameters) ; x.field ; x.property ; [cls]::member ; ns.member 
 F# ; x.method(parameters) ; n/a ; x.property ; cls.member ; ns.member 
 eC ; x.method«(parameters)» ; x.field ; x.property ; cls::member ; ns::member 
 Eiffel ;x.method«(parameters)» ; x.field ; ; {cls}.member ; rowspan=2 n/a 
 Ruby ;x.method«(parameters)» ; n/a ; x.property ; cls.member 
 PHP ; x->method(parameters) ; x->field ; x->property ; cls::member ; ns\member 
 Perl ; x->method«(parameters)» ; x->{field} ;  ; cls->method«(parameters)» ; ns::member 
 Raku ; x.method«(parameters)» or x!method«(parameters)» ; x.field or x!field ;  ; cls.method«(parameters)» or cls!method«(parameters)» ; ns::member 
 OCaml ; x#method «parameters» ; colspan=2 n/a ;  ;  
 JavaScript ; x.method(parameters)x["method"](parameters) ; x.fieldx["field"] ; x.propertyx["property"] ; cls.membercls["member"] ; n/a 
 COBOL ; INVOKE x "method" «USING parameters» «RETURNING result» orx::"method"«(«parameters»)» ; n/a ; property OF x ; INVOKE cls "method" «USING parameters» «RETURNING result» orcls::"method"«(«parameters»)» orproperty OF cls ; n/a 
 Cobra ; x.method«(parameters)» ; x.field ; x.property ; cls.member ; ns.member 
