 ; Description ; Creator ; First public release date ; Latest stable version ; Latest Stable Release Date ; List Price (USD) ; Software license 
 Ability Photopaint ; Graphics editor with some advanced features ; Ability Software ; 03 ; 4 ; ; ; proprietary 
 ACDSee ; ; ; ; 19 ; ; $59 ; proprietary 
 ACDSee Pro ; ; ; ; 9 ; ; $99 ; proprietary 
 ACDSee Ultimate ; ; ; ; 9 ; ; $149 ; proprietary 
 Acorn Image Editor ; Image editor and graphics creator for macOS ; Flying Meat Inc. ; 10 ; 5.6.2 ; 24 ; ; proprietary 
 Adobe Fireworks* ; Alternative to Photoshop targeted at web designers, discontinued after CS6 ; Macromedia ; 1998 ; CS6 / 12.0 ; 07 ;Discontinued ; proprietary 
 Adobe Photoshop ; Professional image editor and graphics creation tool ; Adobe Systems ; 19 ; CC 2020/ 21.1.3 ;19; $9.99/month ; proprietary 
 Adobe Photoshop Elements ; Raster graphics editor for entry-level photographers, image editors and hobbyists ; ; ; 14.0 ; 24 ; $99 ; proprietary 
 Adobe Photoshop Lightroom ; Photo editor ; Adobe Systems ; 19 ; 8.2 ; 07 ; $9.99/month ; proprietary 
 Affinity Photo ; Professional image editor for Windows, macOS and iOS ; Serif Europe ; 09 ; 1.8.2 ; 03 ; $49.99 ; proprietary 
 Autodesk SketchBook Pro ; Paint and drawing toolset for use with digitized pen tablets & tablet computer ; Autodesk ; 2004 ; 2016 (4.1) ; ;  ; proprietary 
 Artipic ; Image editor for Windows and macOS ; Artipic AB ; 2014 ; 2.6 ; 30 ; ; proprietary 
 ArtRage ; Digital paint program for tablet computer ; Ambient Design ; 2004 ; 6 ; 06 ; ; proprietary 
 Artweaver ; Emulates physical painting experience on a computer ; Boris Eyrich ; 2002 ; 7.0.4 ; 09 ; ; Freeware 
 Bibble* ; Photo editor and organizer with camera raw file support ; Bibble Labs ; 2000 ; 5.2 ; ; ; proprietary 
 Black Ink ; Advanced Digital Painting ; Bleank ; 2012 ; 2020.1 ; 01 ; $59.99 ; proprietary 
 Bloom ; Procedural node-based image editor ; Sad Cat Software ; 2015 ; 1.0.467 ; 05 ; ; proprietary 
 Brush Strokes Image Editor ; Image editor like Windows Paint ; Paul Bird ; 2004 ; 2.0 ; ; ; Freeware 
 Capture One ; Professional raw converter and image editor ; Phase One ; 2002 ; 12 ;  ; ; proprietary 
 Chasys Draw IES ; Image Editor with layers, animation, icon edit, super-res, batch and camera raw ; John Paul Chacha ; 2001 ; 4.56.01 ; 12 ; ; Freeware 
 CinePaint ; Moving picture, photo and graphics editor ; Robin Rowe ; 04 ; 1.0-4 ; 08 ; ; GPL 
 CodedColor PhotoStudio Pro ; An bitmap graphics editor and image organizer for Windows pc ; 1STEIN Corp. ; 2001 ; 6.2 ; ; ; proprietary 
 Corel PaintShop Pro ; Advanced image editor and graphics creator ; Jasc Software ; 1992 ; X7 ; ; ; proprietary 
 Corel Painter ; Made to create natural-looking artistic images ; Mark Zimmer, Tom Hedges, John Derry ; 08 ; 15.1.0.740 ; 12 ;  ; proprietary 
 Corel PHOTO-PAINT ; Professional image editor and graphics creator with advanced features ; Corel Corporation ; 1992 ; X7/17 ; ; ; proprietary 
 darktable ; Photography workflow application and raw developer ; Johannes Hanika ; 04 ; 3.0.0 ; 24 ; ; GPL 3 
 Deluxe Paint* ; Discontinued basic editor ; Dan Silva ; 1985 ; 5.2 ; 1995 ; ; proprietary 
 Deneba Canvas ; Graphics editor and creator supporting both raster graphics and vector graphics.It also work on GIS data. ; Jorge Miranda, Joaquin de Soto, Manny Menendez ; 09 ; 14 ; ; ; proprietary 
 DigiKam ; Free photo organizer and image editor ; Renchi Raju, Gilles Caulier ; 2002 ; 6.4.0 ; 02 ; ; GPL 
 Digital Photo Professional ; Photo organizer and image editor from Canon ; Canon Inc. ;  ; 4.2.10 ; ; ; proprietary 
 Erdas Imagine ; Advanced remote sensing and GIS ability,handles multispectral images ; ERDAS, Inc. ; 1980 ; 2016 (16) ; 14 ; ; proprietary 
 Fatpaint ; Full featured web-based graphic design and photo editing application ; Mersica Inc. ; 2010 ; 1.99.55 ; ; ; Freeware 
