 Name ; Official website ; Programming language ; Software license ; Used by 
 Rh| Boost.Regexboost_regex_formerly_regex ; Boost C++ Libraries ; C++ ; Boost ; Notepad++ >= 6.0.0, EmEditor 
 Rh| Boost.Xpressive ; Boost C++ Libraries ; C++ ; Boost ;  
 Rh| CL-PPCRE ; Edi Weitz ; Common Lisp ; BSD ;  
 Rh| cppre ; Jeff Stuart ; C++ ; GPL ;  
 Rh| DEELX ; RegExLab ; C++ ; free personal and commercial use ;  
 Rh| FREJfuzzy_regexp_libraries ; Fuzzy Regular Expressions for Java ; Java ; LGPL ;  
 Rh| GLib/GRegexglib_gregex_version ; GLib reference manual ; C ; LGPL ;  
 Rh| GRETA ; Microsoft Research ; C++ ; dunno ;  
 Rh|Gregex ;Grovf Inc. ; RTL, HLS ; Proprietary  ; FPGA accelerated >100Gbit/s regex engine for cybersecurity, financial, e-commerce industries. 
 Rh|RXP ; Titan IC ; RTL ; Proprietary  ; hardware-accelerated search acceleration using RegEx available for ASIC, FPGA and cloud. Enables massively parallel content processing at ultra-high speeds.  
Rh| Hyperscan ;Intel ; C, x86-specific assembly (SSSE3+) ; 3-clause BSD ; Rspamd 
 Rh| ICU ; International Components for Unicode ; C, C++icu4j ; ICU ;Foundation (Apple and Swift open-source versions) 
 Rh| Jakarta/Regexp ; The Apache Jakarta Project ; Java ; Apache ;  
 Rh| java.util.regex ; Java's User manual ; Java ; GNU GPLv2 with Classpath exception ; jEdit 
 Rh| JRegex ; JRegex ; Java ; BSD ;  
 Rh| MATLAB ; Regular Expressions ;MATLAB Language ;MATLAB, The Language of Technical Computing ;  
 Rh| Oniguruma ;Kosako ; C ; BSD ; Atom, Take Command Console, Tera Term, TextMate, Sublime Text, SubEthaEdit, EmEditor and jq 
 Rh| Onigmo (Oniguruma-mod) ;Onigmo ; C ; BSD ; Ruby 
 Rh| Pattwo ; Stevesoft ; Java (compatible with Java 1.0) ; LGPL ;  
 Rh| PCRE ; pcre.org ; C, C++pcre_cpp ; BSD ; Apache HTTP Server, Nginx, BBEdit, Julia, HHVM, Notepad++ < 6.0.0, PHP, Delphi, R 
 Rh| Qt/QRegExp ; Digia ; C++ ; Qt GNU GPL v. 3.0, Qt GNU LGPL v. 2.1, Qt Commercial ; Kate, Kile 
 Rh| regex - Henry Spencer's regular expression libraries ; ArgList ; C ; BSD ;  
 Rh| RE2 ; RE2 ; C++ ; BSD ;Go, Google Sheets, Gmail, G Suite 
 Rh| Henry Spencer's Advanced Regular Expressions  ; Tcl ; C ; BSD ;  
 Rh| RGX ; RGX  ; C++ based component library ; P6R ;  
 Rh| SubReg ; Matt Bucknall ; C ; MIT ;  
 Rh| TPerlRegEx ; TPerlRegEx VCL Component ; Object Pascal ; MPLv1.1 ;  
 Rh| TREfuzzy_regexp_libraries ; Ville Laurikari ; C ; BSD ; musl 
 Rh| TRegExpr ; RegExp Studio ; Object Pascal ; Dual-license: freeware, or LGPL with static linking exception ; Total Commander 
 Rh| XRegExp ; XRegExp ; JavaScript ; MIT ;  
 Rh| Wolfram Language (Mathematica) ; Wolfram Language Documentation Center ; Wolfram Language ;  ; Mathematica, the Wolfram Development Platform 
