 ; Union ; Intersect ; Except ; Inner join ; Outer join ; Inner selects ; Merge joins ; Blobs and Clobs ; Common Table Expressions ; Windowing Functions ; Parallel Query ; System-versioned Tables 
 4th Dimension ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; dunno ; dunno ; dunno ; dunno 
 ADABAS ; yes ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno  
 Adaptive Server Enterprise ; yes ; dunno ; dunno ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; yes ; dunno  
 Advantage Database Server ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; dunno ; no ; dunno ; dunno  
 Altibase ; yes ; yes ; Yes, via MINUS ; yes ; yes ; yes ; yes ; yes ; No ; No ; No ; dunno  
 Apache Derby ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; no ; no ; dunno ; dunno  
 ClustrixDB ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; yes ; yes ; yes ; dunno  
 CUBRID ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; dunno ; dunno  
 DB2 ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes{{Citation ; chapter-url       =  ; publisher = IBM ; series    = Developer Works ; title     = Library ; chapter   = Article  ; yes 
 Empress Embedded Database ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno  
 EXASolution ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; yes ; yes ; dunno  
 Firebird ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno  
 HSQLDB ; yes ; yes ; yes ; yes ; yes ; yes ; yesNew Features in HyperSQL 2.2 ; yes ; yes ; no ; yes ; dunno  
 H2 ; yes ; yes ; yes ; yes ; yes ; yes ; no ; yes ; experimentalH2 > Advanced > Recursive Queries ; yesH2 Functions ; dunno ; dunno  
 Informix Dynamic Server ; yes ; yes ; Yes, via MINUS ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yesInformix parallel data query (PDQ) ; dunno  
 Ingres ; yes ; no ; no ; yes ; yes ; yes ; yes ; yes ; no ; no ; dunno ; dunno  
 InterBase ; Yes ; dunno ; dunno ; Yes ; Yes ; dunno ; dunno ; Yes ; dunno ; dunno ; dunno ; dunno  
 Linter SQL RDBMS ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; Yes ; No ; No  
 LucidDB ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; dunno ; dunno ; dunno ; dunno 
 MariaDB ; yes ; 10.3+ ; 10.3+ ; yes ; yes ; yes ; no ; yes ; yes{{cite web ; url        =  ; title      = CTE implemented in 10.2.2 ; publisher  = mariadb.org ; accessdate = 26 July 2017  ; yes{{cite web ; url        =  ; title      = Window Functions Overview ; publisher  = mariadb.com ; accessdate = 25 April 2016  ; no{{Citation ; publisher = Oracle ; series    = MySQL ; chapter-url       =  ; title     = Bugs ; chapter   = Feature request #1542: Parallel query  ; yes 
 MaxDB ; Yes ; dunno ; dunno ; Yes ; Yes ; Yes ; no ; Yes ; dunno ; dunno ; dunno ; dunno  
 Microsoft Access (JET) ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; no ; no ; dunno ; dunno  
 Microsoft Visual Foxpro ; yes ; dunno ; dunno ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; dunno ; dunno  
 Microsoft SQL Server ; yes ; yes  ; yes  ; yes ; yes ; yes ; yes ; yes ; yes ; yes{{Citation ; url       =  ; publisher = Microsoft ; title     = Only very limited functions available before SQL Server 2012  ; yes{{Citation ; chapter-url       =  ; publisher = Microsoft ; series    = MSDN ; title     = Library ; chapter   = SQL Server Parallel Query Processing  ; yes  
 Microsoft SQL Server Compact (Embedded Database) ; yes ; no ; no ; yes ; yes ; dunno ; no ; yes ; no ; no ; dunno ; dunno  
 Mimer SQL ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; yes ; no ; no ; dunno  
 MonetDB ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no  
 MySQL ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; 8+{{Citation ; publisher = Oracle ; series    = MySQL ; chapter-url       =  ; title     = Bugs ; chapter   = Feature request #16244: SQL-99 Derived table WITH clause (CTE)  ; no ; no ; no 
 OpenBase SQL ; no ; no ; no ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno  
 OpenLink Virtuoso ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; yes ; dunno ; dunno ; yes ; dunno  
 Oracle ; yes ; yes ; Yes, via MINUS ; yes ; yes ; yes ; yes ; yes ; yes 1 ; yes ; yes{{Citation ; publisher = Ora FAQ ; series    = Wiki ; url       =  ; title     = Parallel Query  ; no  
 Oracle Rdb ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno ; dunno ; dunno ; dunno  
 Pervasive PSQL ; yes ; no ; no ; yes ; yes ; dunno ; dunno ; yes ; no ; no ; no ; dunno  
 Polyhedra DBMS ; yes ; yes ; yes ; yes ; yes ; no ; no ; yes ; no ; no ; no ; dunno  
 PostgreSQL ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes{{Citation ; url       =  ; publisher = PostgreSQL ; title     = Parallel Query  ; no  
 Raima Database Manager ; no ; no ; no ; yes ; yes ; no ; no ; yes ; no ; no ; no ; dunno  
 RDM Server ; yes ; no ; no ; yes ; yes ; yes ; no ; yes ; no ; no ; no ; dunno  
 SAP HANA ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno ; dunno  
 solidDB ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; dunno  
 SQL Anywhere ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno  
 SQLite ; yes ; yes ; yes ; yes ; LEFT only ; yes ; no ; yes ; 3.8.3+SQLite Query Language: WITH clause ; 3.25+Window Functions ; no ; no  
 SQream DB ; ALL only ; no ; no ; yes ; yes ; yes ; yes ; no ; yes ; yes ; no ; dunno  
 Teradata ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; dunno  
 UniVerse ; yes ; yes ; yes ; yes ; yes ; yes ; yes ; no ; no ; no ; dunno ; dunno  
 ; Union ; Intersect ; Except ; Inner join ; Outer join ; Inner selects ; Merge joins ; Blobs and Clobs ; Common Table Expressions ; Windowing Functions ; Parallel Query  ; System-versioned Tables  
