Model  ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Fillrate ;Fillrate ;Memory ;Memory ;Memory ;Memory ;API compliance (version) ;API compliance (version) ;Processing power(GFLOPS) ;Notes 
Model  ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Pixel (GP/s) ;Texture (GT/s) ;Size (MB) ;Bandwidth (GB/s) ;Bus type ;Bus width (bit) ;Direct3D ;OpenGL ;Processing power(GFLOPS) ;Notes 
rh|Mobility Radeon HD 4200 ;September 10, 2009 ;unk ;RV620 ;55 ;Internal PCIe x16 1.1 ;500 ;800(system memory) ;40:4:4 ;2 ;2 ;up to 512 from system memory ;6.4/12.8 ;DDR2 DDR3 ;64/128 ;10.1 ;3.3 ;40 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4225 ;May 1, 2010 ;unk ;RV620 ;55 ;Internal PCIe x16 1.1 ;380 ;800(system memory) ;40:4:4 ;1.52 ;1.52 ;up to 512 from system memory ;6.4/12.8 ;DDR2 DDR3 ;64/128 ;10.1 ;3.3 ;30.4 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4250 ;May 1, 2010 ;unk ;RV620 ;55 ;Internal PCIe x16 1.1 ;500 ;800(system memory) ;40:4:4 ;2 ;2 ;up to 512 from system memory ;6.4/12.8 ;DDR2 DDR3 ;64/128 ;10.1 ;3.3 ;40 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4270 ;May 1, 2010 ;unk ;RV620 ;55 ;Internal PCIe x16 1.1 ;590 ;800(system memory) ;40:4:4 ;2.36 ;2.36 ;up to 512 from system memory ;6.4/12.8 ;DDR2 DDR3 ;64/128 ;10.1 ;3.3 ;47.2 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4330 ;January 9, 2009 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;450 ;600 ;80:8:4 ;1.8 ;3.6 ;512 ;9.6 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;72 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4530 ;January 9, 2009 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;500 ;700 ;80:8:4 ;2 ;4 ;512 ;11.2 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;80 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4550 ;January 1, 2010 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;550 ;700 ;80:8:4 ;2.2 ;4.4 ;512 ;11.2 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;80 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4570 ;January 9, 2009 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;680 ;800 ;80:8:4 ;2.72 ;5.44 ;512 ;12.8 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;108.8 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4650 ;January 9, 2009 ;M96 ;RV730 ;55 ;PCIe x16 2.0 ;500550 ;600800 ;320:32:8 ;44.4 ;1617.6 ;5121024 ;19.225.6 ;DDR2DDR3GDDR3 ;128 ;10.1 ;3.3 ;320352 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4670 ;January 9, 2009 ;M96-XT ;RV730 ;55 ;PCIe x16 2.0 ;675 ;800 ;320:32:8 ;5.4 ;21.6 ;5121024 ;12.825.6 ;DDR2DDR3GDDR3 ;128 ;10.1 ;3.3 ;432 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4830 ;March 3, 2009 ;M97 ;RV740 ;40 ;PCIe x16 2.0 ;400/600400/600 ;800/900800/900 ;640:32:16 ;6.4/9.66.4/9.6 ;12.8/19.212.8/19.2 ;5121024 ;25.6/28.825.6/28.8 ;GDDR3DDR3 ;128 ;10.1 ;3.3 ;512/768512/768 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4850 ;January 9, 2009 ;M98 ;RV770 ;55 ;PCIe x16 2.0 ;500 ;850700 ;800:40:16 ;8 ;20 ;1024 ;54.489.6 ;GDDR3GDDR52 ;256 ;10.1 ;3.3 ;800 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4860 ;March 3, 2009{{cite web|url= - AMD|website=Amd.com|access-date=2017-09-03|archive-url= ;M97 ;RV740 ;40 ;PCIe x16 2.0 ;650 ;1000 ;640:32:16 ;10.4 ;20.8 ;1024 ;64.0 ;GDDR52 ;128 ;10.1 ;3.3 ;832 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4870 ;January 9, 2009 ;M98-XT ;RV770 ;55 ;PCIe x16 2.0 ;550 ;888700 ;800:40:16 ;8.8 ;22 ;5121024 ;56.83289.6 ;GDDR3GDDR52 ;256 ;10.1 ;3.3 ;880 ;UVD2, PowerPlay 7.0 
rh|Mobility Radeon HD 4870 X2 ;January 9, 2009 ;M98-XT ;RV770 ;55 ;PCIe x16 2.0 ;550 ;700 ;2x [800:40:16] ;2x 8.8 ;2x 22 ;2048 ;2x 89.6 ;GDDR52 ;2x 256 ;10.1 ;3.3 ;2x 880 ;UVD2, PowerPlay 7.0Dual GPU solution 
