Model: Mobility Radeon ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Fillrate ;Fillrate ;Memory ;Memory ;Memory ;Memory ;API compliance (version) ;API compliance (version) ;Processing power(GFLOPS) ;TDP (Watts) 
Model: Mobility Radeon ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Pixel (GP/s) ;Texture (GT/s) ;Size (MB) ;Bandwidth (GB/s) ;Bus type ;Bus width (bit) ;Direct3D ;OpenGL ;Processing power(GFLOPS) ;TDP (Watts) 
rh|Mobility Radeon HD 530v{{cite web|url= Mobility Radeon HD 530v|website=Techpowerup.com|access-date=2016-10-03|archive-url= ;May 5, 2010 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;500 ;600 ;80:8:4 ;2 ;4 ;1024 ;9.6 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;80 ; 10  
rh|Mobility Radeon HD 545v{{cite web|url= Mobility Radeon HD 545v|website=Techpowerup.com|access-date=2016-10-03|archive-url= ;May 5, 2010 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;720 ;400 800 ;80:8:4 ;2.88 ;5.76 ;512 1024 ;6.4 12.8 ;DDR2DDR3GDDR3 ;64 ;10.1 ;3.3 ;115.2 ; 15 
rh|Mobility Radeon HD 550v{{cite web|url= Mobility Radeon HD 550v|website=Techpowerup.com|access-date=2016-10-03|archive-url= ;May 5, 2010 ;M96 ;RV730 ;55 ;PCIe x16 2.0 ;450 ;600 ;320:32:8 ;3.6 ;14.4 ;1024 ;19.2 ;DDR2DDR3GDDR3 ;128 ;10.1 ;3.3 ;288 ; 10 
rh|Mobility Radeon HD 560v{{cite web|url= Mobility Radeon HD 560v|website=Techpowerup.com|access-date=2016-10-03|archive-url= ;May 5, 2010 ;M96 ;RV730 ;55 ;PCIe x16 2.0 ;550 ;800 ;320:32:8 ;4.4 ;17.6 ;1024 ;25.6 ;DDR2DDR3GDDR3 ;128 ;10.1 ;3.3 ;352 ; 15 
rh|Mobility Radeon HD 565v{{cite web|url= Mobility Radeon HD 565v|website=Techpowerup.com|access-date=2016-10-03|archive-url= ;May 5, 2010 ;M96-XT ;RV730 ;55 ;PCIe x16 2.0 ;675 ;800 ;320:32:8 ;5.4 ;21.6 ;1024 ;25.6 ;DDR2DDR3GDDR3 ;128 ;10.1 ;3.3 ;432 ; 20 
rh|Mobility Radeon HD 5145 ;January 7, 2010 ;M92 ;RV710 ;55 ;PCIe x16 2.0 ;720 ;900 ;80:8:4 ;2.88 ;5.76 ;1024 ;14.4 ;DDR3GDDR3 ;64 ;10.1 ;3.3 ;115.2 ;15 
rh|Mobility Radeon HD 5165 ;January 7, 2010 ;M96 ;RV730 ;55 ;PCIe x16 2.0 ;600 ;900 ;320:32:8 ;4.8 ;19.2 ;1024 ;28.8 ;DDR3GDDR3 ;128 ;10.1 ;3.3 ;384 ;35 
rh|Mobility Radeon HD 5430 ;January 7, 2010 ;Park LP ;Cedar (RV 810) ;40 ;PCIe x16 2.1 ;500550 ;800 ;80:8:4 ;2.02.2 ;4.04.4 ;1024 ;12.8 ;DDR3GDDR3 ;64 ;11 ;4.4 ;8088 ;7 
rh|Mobility Radeon HD 5450 ;January 7, 2010 ;Park PRO ;Cedar (RV 810) ;40 ;PCIe x16 2.1 ;675 ;800 ;80:8:4 ;2.7 ;5.4 ;1024 ;12.8 ;DDR3GDDR3 ;64 ;11 ;4.4 ;108 ;11 
rh|Mobility Radeon HD 5470 ;January 7, 2010 ;Park XT ;Cedar (RV 810) ;40 ;PCIe x16 2.1 ;750 ;800 ;80:8:4 ;3 ;6 ;1024512 ;12.825.6 ;DDR3GDDR3GDDR5 ;64 ;11 ;4.4 ;120 ;1315 
rh|Mobility Radeon HD 5650 ;January 7, 2010 ;Madison PRO ;Redwood (RV 830) ;40 ;PCIe x16 2.1 ;450650 ;800 ;400:20:8 ;3.65.2 ;9.013.0 ;1024 ;25.6 ;DDR3GDDR3 ;128 ;11 ;4.4 ;360520 ;1519 
rh|Mobility Radeon HD 5730 ;January 7, 2010 ;Madison LP ;Redwood (RV 830) ;40 ;PCIe x16 2.1 ;650 ;800 ;400:20:8 ;5.2 ;13 ;1024 ;25.6 ;DDR3GDDR3 ;128 ;11 ;4.4 ;520 ;26 
rh|Mobility Radeon HD 5750 ;January 7, 2010 ;Madison PRO ;Redwood (RV 830) ;40 ;PCIe x16 2.1 ;550 ;800 ;400:20:8 ;4.4 ;11 ;1024 ;51.2 ;GDDR5 ;128 ;11 ;4.4 ;440 ;25 
rh|Mobility Radeon HD 5770 ;January 7, 2010 ;Madison XT ;Redwood (RV 830) ;40 ;PCIe x16 2.0/2.1 ;650 ;800 ;400:20:8 ;5.2 ;13 ;1024 ;51.2 ;GDDR5 ;128 ;11 ;4.4 ;520 ;30 
rh|Mobility Radeon HD 5830 ;January 7, 2010 ;Broadway LP ;Juniper (RV 840) ;40 ;PCIe x16 2.1 ;500 ;800 ;800:40:16 ;8 ;20 ;1024 ;25.6 ;DDR3GDDR3 ;128 ;11 ;4.4 ;800 ;24 
rh|Mobility Radeon HD 5850 ;January 7, 2010 ;Broadway PRO ;Juniper (RV 840) ;40 ;PCIe x16 2.1 ;625500625 ;9001000 ;800:40:16 ;10810 ;252025 ;20481024 ;28.86464 ;DDR3GDDR3 ;128 ;11 ;4.4 ;10008001000 ;313039 
rh|Mobility Radeon HD 5870 ;January 7, 2010 ;Broadway XT ;Juniper (RV 840) ;40 ;PCIe x16 2.1 ;700 ;1000 ;800:40:16 ;11.2 ;28 ;1024 ;64 ;GDDR5 ;128 ;11 ;4.4 ;1120 ;50 
Model ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Pixel (GP/s) ;Texture (GT/s) ;Size (MB) ;Bandwidth (GB/s) ;Bus type ;Bus width (bit) ;Direct3D ;OpenGL ;Processing power(GFLOPS) ;TDP (Watts) 
Model ;Launch ;Model Number ;Code name ;Fab (nm) ;Bus interface ;Core clock (MHz) ;Memory clock (MHz) ;Core config1 ;Fillrate ;Fillrate ;Memory ;Memory ;Memory ;Memory ;API compliance (version) ;API compliance (version) ;Processing power(GFLOPS) ;TDP (Watts) 
