 Model ; Launch ; Code name ; Fab (nm) ; Bus interface ; Core config1 ; Clock speed ; Clock speed ; Clock speed ; Fillrate ; Fillrate ; Memory ; Memory ; Memory ; Memory ; Supported API version ; Supported API version ; Processing power (GFLOPS)2 ; TBP (Watts) ; Notes 
 Model ; Launch ; Code name ; Fab (nm) ; Bus interface ; Core config1 ; Core (MHz) ; Shader (MHz) ; Memory (MT/s) ; Pixel (GP/s) ; Texture (GT/s) ; Size (MB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Direct3D ; OpenGL ; Processing power (GFLOPS)2 ; TBP (Watts) ; Notes 
 GeForce 610M ; December 2011 ; GF119 (N13M-GE) ; 40 ; PCIe 2.0 ×16 ; 48:8:4 ; 900 ; 1800 ; 1800 ; 3.6 ; 7.2 ; 10242048 ; 14.4 ; DDR3 ; 64 ; 12 ; 4.5 ; 142.08 ; 12 ; OEM. Rebadged GT 520MX 
 GeForce GT 620M ; April 2012 ; GF117 (N13M-GS) ; 28 ; PCIe 2.0 ×16 ; 96:16:4 ; 625 ; 1250 ; 1800 ; 2.5 ; 10 ; 10242048 ; 14.428.8 ; DDR3 ; 64128 ; 12 ; 4.5 ; 240 ; 15 ; OEM. Die-Shrink GF108 
 GeForce GT 625M ; October 2012 ; GF117 (N13M-GS) ; 28 ; PCIe 2.0 ×16 ; 96:16:4 ; 625 ; 1250 ; 1800 ; 2.5 ; 10 ; 10242048 ; 14.4 ; DDR3 ; 64 ; 12 ; 4.5 ; 240 ; 15 ; OEM. Die-Shrink GF108 
 GeForce GT 630M ; April 2012 ; GF108 (N13P-GL)GF117 ; 4028 ; PCIe 2.0 ×16 ; 96:16:4 ; 660800 ; 13201600 ; 18004000 ; 2.63.2 ; 10.712.8 ; 10242048 ; 28.832.0 ; DDR3GDDR5 ; 12864 ; 12 ; 4.5 ; 258.0307.2 ; 33 ; GF108: OEM. Rebadged GT 540MGF117: OEM Die-Shrink GF108 
 GeForce GT 635M ; April 2012 ; GF106 (N12E-GE2)GF116 ; 40 ; PCIe 2.0 ×16 ; 144:24:24 ; 675 ; 1350 ; 1800 ; 16.2 ; 16.2 ; 20481536 ; 28.843.2 ; DDR3 ; 128192 ; 12 ; 4.5 ; 289.2388.8 ; 35 ; GF106: OEM. Rebadged GT 555MGF116: 94% of desktop GT640date=June 2015 
 GeForce GT 640M LE ; March 22, 2012 ; GF108GK107 (N13P-LP) ; 4028 ; PCIe 2.0 ×16PCIe 3.0 ×16 ; 96:16:4384:32:16(2 SMX) ; 762500 ; 1524500 ; 31301800 ; 38 ; 12.216 ; 10242048 ; 50.228.8 ; DDR3 GDDR5 ; 128 ; 12 ; 4.5 ; 292.6384 ; 3220 ;GF108: 94%ofdesktop GT630date=June 2015GK107: 47% of desktop GTX650date=June 2015 
 GeForce GT 640M ; March 22, 2012 ; GK107 (N13P-GS) ; 28 ; PCIe 3.0 ×16 ; 384:32:16(2 SMX) ; 625 ; 625 ; 18004000 ; 10 ; 20 ; 10242048 ; 28.864.0 ; DDR3 GDDR5 ; 128 ; 12 ; 4.5 ; 480 ; 32 ; 59%ofdesktop GTX650date=June 2015 
 GeForce GT 645M ; October 2012 ; GK107 (N13P-GS) ; 28 ; PCIe 3.0 ×16 ; 384:32:16(2 SMX) ; 710 ; 710 ; 18004000 ; 11.36 ; 22.72 ; 10242048 ; 28.864.0 ; DDR3 GDDR5 ; 128 ; 12 ; 4.5 ; 545 ; 32 ; 67%ofdesktop GTX650date=June 2015 
 GeForce GT 650M ; March 22, 2012 ; GK107 (N13P-GT) ; 28 ; PCIe 3.0 ×16 ; 384:32:16(2 SMX) ; 835745900* ; 835745900* ; 180040005000* ; 13.411.914.4* ; 26.723.828.8* ; 102420484096 ; 28.864.080.0* ; DDR3 GDDR5 ; 128 ; 11.2 ; 4.5 ; 641.3572.2691.2* ; 45 ; 79%ofdesktop GTX650date=June 2015 
 GeForce GTX 660M ; March 22, 2012 ; GK107 (N13E-GE) ; 28 ; PCIe 3.0 ×16 ; 384:32:16(2 SMX) ; 950 ; 950 ; 5000 ; 13.4 ; 26.7 ; 2048 ; 80.0 ; GDDR5 ; 128 ; 11.2 ; 4.5 ; 730 ; 50 ; 79%ofdesktop GTX650date=June 2015 
 GeForce GTX 670M ; April 2012 ; GF114 (N13E-GS1-LP) ; 40 ; PCIe 2.0 ×16 ; 336:56:24 ; 620 ; 1240 ; 3000 ; 14.35 ; 33.5 ; 15363072 ; 72.0 ; GDDR5 ; 192 ; 12 ; 4.5 ; 833 ; 75 ; 73%ofdesktopGTX 560date=June 2015 
 GeForce GTX 670MX ; October 2012 ; GK104 (N13E-GR) ; 28 ; PCIe 3.0 ×16 ; 960:80:24(5 SMX) ; 615 ; 615 ; 2800 ; 14.4 ; 48.0 ; 15363072 ; 67.2 ; GDDR5 ; 192 ; 12 ; 4.5 ; 1181 ; 75 ; 61%ofdesktopGTX 660date=June 2015 
 GeForce GTX 675M ; April 2012 ; GF114 (N13E-GS1) ; 40 ; PCIe 2.0 ×16 ; 384:64:32 ; 632 ; 1265 ; 3000 ; 19.8 ; 39.7 ; 2048 ; 96.0 ; GDDR5 ; 256 ; 12 ; 4.5 ; 972 ; 100 ; 75%ofdesktopGTX 560Tidate=June 2015 
 GeForce GTX 675MX ; October 2012 ; GK104  (N13E-GSR) ; 28 ; PCIe 3.0 ×16 ; 960:80:32(5 SMX) ; 667 ; 667 ; 3600 ; 19.2 ; 48.0 ; 4096 ; 115.2 ; GDDR5 ; 256 ; 12 ; 4.5 ; 1281 ; 100 ; 61%ofdesktopGTX 660date=June 2015 
 GeForce GTX 680M ; June 4, 2012 ; GK104 (N13E-GTX) ; 28 ; PCIe 3.0 ×16 ; 1344:112:32(7 SMX) ; 719 ; 719 ; 3600 ; 23 ; 80.6 ; 4096 ; 115.2 ; GDDR5 ; 256 ; 12 ; 4.5 ; 1933 ; 100 ; 78%ofdesktopGTX 670date=June 2015 
 GeForce GTX 680MX ; October 23, 2012 ; GK104 ; 28 ; PCIe 3.0 ×16 ; 1536:128:32(8 SMX) ; 719 ; 719 ; 5000 ; 23 ; 92.2 ; 4096 ; 160 ; GDDR5 ; 256 ; 12 ; 4.5 ; 2209 ; 122 ; 72%ofdesktopGTX 680date=June 2015 
 Model ; Launch ; Code name ; Fab (nm) ; Bus interface ; Core config1 ; Clock speed ; Clock speed ; Clock speed ; Fillrate ; Fillrate ; Memory ; Memory ; Memory ; Memory ; Supported API version ; Supported API version ; Processing power (GFLOPS)2 ; TBP (Watts) ; Notes 
 Model ; Launch ; Code name ; Fab (nm) ; Bus interface ; Core config1 ; Core (MHz) ; Shader (MHz) ; Memory (MT/s) ; Pixel (GP/s) ; Texture (GT/s) ; Size (MB) ; Bandwidth (GB/s) ; Bus type ; Bus width (bit) ; Direct3D ; OpenGL ; Processing power (GFLOPS)2 ; TBP (Watts) ; Notes 
